company_id,display_name,name_zh,name_ko,exchange,ticker,baostock_code,fiscal_year,quarter,stat_date,publication_date,reporting_currency,financial_data_status,collection_error,profit_MBRevenue,profit_netProfit,profit_roeAvg,profit_npMargin,profit_gpMargin,growth_YOYNI,growth_YOYEquity,growth_YOYAsset,balance_currentRatio,balance_quickRatio,balance_cashRatio,balance_liabilityToAsset,cash_flow_CFOToOR,cash_flow_CFOToNP,revenue_yoy_calculated,net_profit_yoy_calculated,official_filing_url,retrieved_at_utc,balance_YOYLiability,balance_assetToEquity,cash_flow_CAToAsset,cash_flow_CFOToGr,cash_flow_NCAToAsset,cash_flow_ebitToInterest,cash_flow_tangibleAssetToAsset,growth_YOYEPSBasic,growth_YOYPNI,operation_AssetTurnRatio,operation_CATurnRatio,operation_INVTurnDays,operation_INVTurnRatio,operation_NRTurnDays,operation_NRTurnRatio,profit_epsTTM,profit_liqaShare,profit_totalShare
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,sz.002602,2022,4,2022-12-31,2023-04-29,CNY,collected_baostock,,11475126037.46,-7084229150.19,-0.256925,-0.617355,0.515152,-3.7954,-0.223827,-0.180373,1.607593,1.475706,0.502162,0.239048,0.129919,,,,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,2026-07-27T07:01:29.504301Z,-0.061924,1.314143,0.229326,0.129919,0.770674,-18.842713,0.32563,-4.0,-4.048115,0.31033,1.33374,41.079477,8.763513,103.986049,3.462003,-0.951632,6102511369.0,7452556968.0
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,sz.002602,2023,4,2023-12-31,2024-04-30,CNY,collected_baostock,,13284552938.83,587833762.91,0.021379,0.044249,0.60509,1.082978,0.032055,0.121145,1.355089,1.246861,0.569074,0.304127,0.233531,5.277599,0.15768252962653428,-1.082977801881837,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,2026-07-27T07:01:29.504301Z,0.426368,1.437043,0.224457,0.233531,0.775543,4.897065,0.251795,1.072917,1.073892,0.376019,1.658278,46.948357,7.668048,76.29284,4.71866,0.070318,6881073473.0,7452556968.0
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,sz.002602,2024,4,2024-12-31,2025-04-29,CNY,collected_baostock,,22619694342.95,1044929567.84,0.049418,0.046196,0.657983,0.777594,0.021324,0.059473,1.062622,0.996602,0.566178,0.003462,0.223102,4.829508,0.7027064777493497,0.7775936561847052,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,2026-07-27T07:01:29.504301Z,0.186276,1.529425,0.314756,0.223102,0.685244,8.420761,0.246371,1.428571,1.315063,0.597899,2.192409,34.811198,10.3415,50.101656,7.185391,0.16279,6878708273.0,7452556968.0
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,sz.002602,2025,4,2025-12-31,2026-04-30,CNY,collected_baostock,,37898316450.4,5718224244.91,0.202082,0.150883,0.699457,4.472354,0.236078,0.141406,1.833598,1.759583,1.140919,0.297306,0.225983,1.497732,0.6754566120921952,4.472353755603149,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,2026-07-27T07:01:29.504301Z,-0.019679,1.423095,0.427125,0.225983,0.572875,1047.333369,0.354972,3.588235,3.620161,0.909343,2.427178,24.978144,14.412591,35.824619,10.048955,0.760468,6796827627.0,7370682322.0
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,sz.002624,2022,4,2022-12-31,2023-04-07,CNY,collected_baostock,,7563122234.49,1399589204.69,0.141619,0.182466,0.68446,6.89112,-0.109909,-0.082368,1.549242,1.169756,0.739663,0.39395,0.150606,0.825391,,,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,2026-07-27T07:01:29.504301Z,-0.057427,1.650028,0.407937,0.150606,0.592063,,0.479855,2.789474,2.730658,0.46949,1.100237,206.789592,1.740941,48.680005,7.395233,0.709902,1827360892.0,1939968404.0
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,sz.002624,2023,4,2023-12-31,2024-04-16,CNY,collected_baostock,,7703243966.11,582595567.48,0.054262,0.074781,0.597047,-0.583738,-0.022172,-0.073386,1.965686,1.599171,0.965235,0.349501,0.097786,1.307631,0.018526969057964582,-0.5837381672224021,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,2026-07-27T07:01:29.504301Z,-0.177933,1.537282,0.469955,0.097786,0.530045,63.069613,0.496189,-0.638889,-0.643127,0.517234,1.181535,162.381597,2.217028,46.633756,7.71973,0.253344,1827355267.0,1939968404.0
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,sz.002624,2024,4,2024-12-31,2025-04-26,CNY,collected_baostock,,5530515743.8,-1400096630.81,-0.163932,-0.251342,0.57868,-3.403205,-0.246047,-0.215543,1.668792,1.203865,0.840796,0.003956,0.103498,,-0.2820536688009361,-3.4032050859330716,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,2026-07-27T07:01:29.504301Z,-0.112111,1.654489,0.566944,0.103498,0.433056,,0.46412,-3.615385,-3.619755,0.430916,0.840662,235.048315,1.531563,55.584841,6.476586,-0.663701,1827733041.0,1939968404.0
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,sz.002624,2025,4,2025-12-31,2026-04-28,CNY,collected_baostock,,6659558521.64,691811098.21,0.105303,0.103882,0.602763,1.494117,0.055725,-0.078939,2.015528,1.626704,1.189929,0.337344,0.164113,1.579792,0.20414782818505062,-1.4941166795107317,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,2026-07-27T07:01:29.504301Z,-0.214542,1.509079,0.583263,0.164113,0.416737,,0.55946,1.573529,1.567632,0.610016,1.061325,202.29265,1.779562,32.103371,11.213776,0.376738,1827733041.0,1939968404.0
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,sz.002517,2022,4,2022-12-31,2023-04-27,CNY,collected_baostock,,3725534470.42,1361263293.68,0.260268,0.365387,0.750167,0.612039,0.312981,0.312948,3.286507,3.277797,2.123765,0.213652,0.398069,1.089445,,,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,2026-07-27T07:01:29.504301Z,0.897065,1.271702,0.683397,0.398069,0.316603,,0.578339,0.814815,0.777566,0.732216,1.114591,5.147622,69.935197,78.249493,4.600669,0.476266,1906771400.0,2152517634.0
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,sz.002517,2023,4,2023-12-31,2024-04-30,CNY,collected_baostock,,4295390346.58,1580612795.82,0.30089,0.367979,0.834705,0.161079,0.172765,0.143474,3.37109,3.35657,2.079681,0.207539,0.397273,1.079607,0.15295949633120887,0.16113671995592904,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,2026-07-27T07:01:29.504301Z,0.107234,1.261892,0.688287,0.397273,0.311713,,0.627627,0.428571,0.42574,0.693542,1.010985,7.620967,47.238122,79.868816,4.507391,0.679071,1908215312.0,2152517634.0
