company_id,display_name,name_zh,name_ko,exchange,ticker,fiscal_year,reporting_currency,financial_collection_method,financial_data_status,profit_MBRevenue,profit_netProfit,profit_roeAvg,profit_npMargin,profit_gpMargin,revenue_yoy_calculated,net_profit_yoy_calculated,representative_release_titles,representative_release_titles_zh,release_dates,release_events,release_annotations_ko,release_source_urls,official_filing_url,scope_note_ko,balance_YOYLiability,balance_assetToEquity,balance_cashRatio,balance_currentRatio,balance_liabilityToAsset,balance_quickRatio,baostock_code,cash_flow_CAToAsset,cash_flow_CFOToGr,cash_flow_CFOToNP,cash_flow_CFOToOR,cash_flow_NCAToAsset,cash_flow_ebitToInterest,cash_flow_tangibleAssetToAsset,collection_error,growth_YOYAsset,growth_YOYEPSBasic,growth_YOYEquity,growth_YOYNI,growth_YOYPNI,operation_AssetTurnRatio,operation_CATurnRatio,operation_INVTurnDays,operation_INVTurnRatio,operation_NRTurnDays,operation_NRTurnRatio,profit_epsTTM,profit_liqaShare,profit_totalShare,publication_date,quarter,representative_release_count,retrieved_at_utc,stat_date
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,2022,CNY,baostock,collected_baostock,11475126037.46,-7084229150.19,-0.256925,-0.617355,0.515152,,,Qing Yu Nian Mobile,庆余年,2022-03,commercial_launch,2022년 3월 출시. 첫날 iOS 무료 1위·매출 7위를 기록한 성취게임의 대표 신작.,https://static.cninfo.com.cn/finalpage/2023-05-30/1216935607.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,게임 외 AI 클라우드 데이터센터와 자동차부품 사업을 포함한 연결 실적,-0.061924,1.314143,0.502162,1.607593,0.239048,1.475706,sz.002602,0.229326,0.129919,,0.129919,0.770674,-18.842713,0.32563,,-0.180373,-4.0,-0.223827,-3.7954,-4.048115,0.31033,1.33374,41.079477,8.763513,103.986049,3.462003,-0.951632,6102511369.0,7452556968.0,2023-04-29,4,1,2026-07-27T07:01:29.504301Z,2022-12-31
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,2023,CNY,baostock,collected_baostock,13284552938.83,587833762.91,0.021379,0.044249,0.60509,0.15768252962653428,-1.082977801881837,Dragon Nest 2: Evolution,龙之谷2：进化,2023,global_launch,드래곤네스트 IP의 글로벌 신작. 연차보고서 기준 글로벌 다운로드 100만 건을 돌파.,https://static.cninfo.com.cn/finalpage/2024-04-30/1219923252.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,게임 외 AI 클라우드 데이터센터와 자동차부품 사업을 포함한 연결 실적,0.426368,1.437043,0.569074,1.355089,0.304127,1.246861,sz.002602,0.224457,0.233531,5.277599,0.233531,0.775543,4.897065,0.251795,,0.121145,1.072917,0.032055,1.082978,1.073892,0.376019,1.658278,46.948357,7.668048,76.29284,4.71866,0.070318,6881073473.0,7452556968.0,2024-04-30,4,1,2026-07-27T07:01:29.504301Z,2023-12-31
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,2024,CNY,baostock,collected_baostock,22619694342.95,1044929567.84,0.049418,0.046196,0.657983,0.7027064777493497,0.7775936561847052,Whiteout Survival China,无尽冬日,2024,regional_launch,Whiteout Survival의 중국판. 2024년 국내외 SLG 성장과 이익 회복을 해석할 핵심 제품 이벤트.,https://static.cninfo.com.cn/finalpage/2025-04-29/1223382771.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,게임 외 AI 클라우드 데이터센터와 자동차부품 사업을 포함한 연결 실적,0.186276,1.529425,0.566178,1.062622,0.003462,0.996602,sz.002602,0.314756,0.223102,4.829508,0.223102,0.685244,8.420761,0.246371,,0.059473,1.428571,0.021324,0.777594,1.315063,0.597899,2.192409,34.811198,10.3415,50.101656,7.185391,0.16279,6878708273.0,7452556968.0,2025-04-29,4,1,2026-07-27T07:01:29.504301Z,2024-12-31
century_huatong,Century Huatong,世纪华通,세기화통,SZSE,002602,2025,CNY,baostock,collected_baostock,37898316450.4,5718224244.91,0.202082,0.150883,0.699457,0.6754566120921952,4.472353755603149,Kingshot,Kingshot,2025,global_launch,2025년 신규 글로벌 흥행작. Whiteout Survival과 함께 매출·이익 급증을 설명하는 핵심 주석.,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF,게임 외 AI 클라우드 데이터센터와 자동차부품 사업을 포함한 연결 실적,-0.019679,1.423095,1.140919,1.833598,0.297306,1.759583,sz.002602,0.427125,0.225983,1.497732,0.225983,0.572875,1047.333369,0.354972,,0.141406,3.588235,0.236078,4.472354,3.620161,0.909343,2.427178,24.978144,14.412591,35.824619,10.048955,0.760468,6796827627.0,7370682322.0,2026-04-30,4,1,2026-07-27T07:01:29.504301Z,2025-12-31
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,2022,CNY,baostock,collected_baostock,7563122234.49,1399589204.69,0.141619,0.182466,0.68446,,,Tower of Fantasy,幻塔,2022-08-11,regional_launch,해외 정식 출시 후 다수 국가 iOS 무료 1위를 기록한 글로벌 확장 이벤트.,https://www.pwrd.com/cn/news/press/p2022/20221208/85597.shtml,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,게임과 영상 사업을 포함한 연결 실적,-0.057427,1.650028,0.739663,1.549242,0.39395,1.169756,sz.002624,0.407937,0.150606,0.825391,0.150606,0.592063,,0.479855,,-0.082368,2.789474,-0.109909,6.89112,2.730658,0.46949,1.100237,206.789592,1.740941,48.680005,7.395233,0.709902,1827360892.0,1939968404.0,2023-04-07,4,1,2026-07-27T07:01:29.504301Z,2022-12-31
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,2023,CNY,baostock,collected_baostock,7703243966.11,582595567.48,0.054262,0.074781,0.597047,0.018526969057964582,-0.5837381672224021,Demi-Gods and Semi-Devils 2,天龙八部2：飞龙战天,2023-04-14,public_beta,"2023년 상반기 공측 신작. 초기 마케팅비는 즉시 비용, 일부 충전매출은 이연된다고 회사가 설명.",https://www.pwrd.com/cn/news/press/p2023/20231024/86510.shtml,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,게임과 영상 사업을 포함한 연결 실적,-0.177933,1.537282,0.965235,1.965686,0.349501,1.599171,sz.002624,0.469955,0.097786,1.307631,0.097786,0.530045,63.069613,0.496189,,-0.073386,-0.638889,-0.022172,-0.583738,-0.643127,0.517234,1.181535,162.381597,2.217028,46.633756,7.71973,0.253344,1827355267.0,1939968404.0,2024-04-16,4,1,2026-07-27T07:01:29.504301Z,2023-12-31
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,2024,CNY,baostock,collected_baostock,5530515743.8,-1400096630.81,-0.163932,-0.251342,0.57868,-0.2820536688009361,-3.4032050859330716,World of Jade Dynasty,诛仙世界,2024-12-19,commercial_launch,연말 정식 출시. 첫 30일 매출 4억 위안을 넘겨 2025년 실적 기저를 만든 PC MMORPG.,https://www.pwrd.com/cn/news/press/p2025/20250122/87783.shtml,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,게임과 영상 사업을 포함한 연결 실적,-0.112111,1.654489,0.840796,1.668792,0.003956,1.203865,sz.002624,0.566944,0.103498,,0.103498,0.433056,,0.46412,,-0.215543,-3.615385,-0.246047,-3.403205,-3.619755,0.430916,0.840662,235.048315,1.531563,55.584841,6.476586,-0.663701,1827733041.0,1939968404.0,2025-04-26,4,1,2026-07-27T07:01:29.504301Z,2024-12-31
perfect_world_cn,Perfect World,完美世界,완미세계,SZSE,002624,2025,CNY,baostock,collected_baostock,6659558521.64,691811098.21,0.105303,0.103882,0.602763,0.20414782818505062,-1.4941166795107317,Jade Dynasty 2,诛仙2,2025-08,public_beta,"2025년 8월 국내 공측, 첫날 iOS 무료 1위. 흑자 전환기의 대표 신작.",https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml,게임과 영상 사업을 포함한 연결 실적,-0.214542,1.509079,1.189929,2.015528,0.337344,1.626704,sz.002624,0.583263,0.164113,1.579792,0.164113,0.416737,,0.55946,,-0.078939,1.573529,0.055725,1.494117,1.567632,0.610016,1.061325,202.29265,1.779562,32.103371,11.213776,0.376738,1827733041.0,1939968404.0,2026-04-28,4,1,2026-07-27T07:01:29.504301Z,2025-12-31
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,2022,CNY,baostock,collected_baostock,3725534470.42,1361263293.68,0.260268,0.365387,0.750167,,,Angel Fight,天使之战,2022-01,commercial_launch,2022년 1월 자가개발·자가퍼블리싱 출시작으로 회사 연혁상 누적 매출 10억 위안을 돌파.,https://www.kingnet.com/about/company,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,게임 개발·퍼블리싱·IP 사업 중심 연결 실적,0.897065,1.271702,2.123765,3.286507,0.213652,3.277797,sz.002517,0.683397,0.398069,1.089445,0.398069,0.316603,,0.578339,,0.312948,0.814815,0.312981,0.612039,0.777566,0.732216,1.114591,5.147622,69.935197,78.249493,4.600669,0.476266,1906771400.0,2152517634.0,2023-04-27,4,1,2026-07-27T07:01:29.504301Z,2022-12-31
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,2023,CNY,baostock,collected_baostock,4295390346.58,1580612795.82,0.30089,0.367979,0.834705,0.15295949633120887,0.16113671995592904,Stone Age: Awakening,石器时代：觉醒,2023-10,commercial_launch,카이잉 개발·텐센트 퍼블리싱의 회귀형 MMO. 2023년 10월 출시.,https://www.kingnet.com/about/company,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,게임 개발·퍼블리싱·IP 사업 중심 연결 실적,0.107234,1.261892,2.079681,3.37109,0.207539,3.35657,sz.002517,0.688287,0.397273,1.079607,0.397273,0.311713,,0.627627,,0.143474,0.428571,0.172765,0.161079,0.42574,0.693542,1.010985,7.620967,47.238122,79.868816,4.507391,0.679071,1908215312.0,2152517634.0,2024-04-30,4,1,2026-07-27T07:01:29.504301Z,2023-12-31
