company_id,corp_code,stock_code,rcept_no,corp_cls,corp_name,flr_nm,rcept_dt,report_nm,rm,viewer_url
hybe,01204056,352820,20260107000712,Y,하이브,하이브,20260107,[기재정정]반기보고서 (2025.06),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260107000712
hybe,01204056,352820,20260107000718,Y,하이브,하이브,20260107,[기재정정]분기보고서 (2025.09),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260107000718
sm_entertainment,00260930,041510,20260317000781,K,에스엠,에스엠,20260317,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000781
jyp_entertainment,00258689,035900,20260318001519,K,JYP Ent.,JYP Ent.,20260318,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001519
yg_entertainment,00613318,122870,20260319001332,K,와이지엔터테인먼트,와이지엔터테인먼트,20260319,사업보고서 (2025.12),정연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319001332
hybe,01204056,352820,20260320000802,Y,하이브,하이브,20260320,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320000802
yg_entertainment,00613318,122870,20260323001610,K,와이지엔터테인먼트,와이지엔터테인먼트,20260323,[기재정정]사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001610
hybe,01204056,352820,20260515001930,Y,하이브,하이브,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515001930
yg_entertainment,00613318,122870,20260515002248,K,와이지엔터테인먼트,와이지엔터테인먼트,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515002248
jyp_entertainment,00258689,035900,20260515002272,K,JYP Ent.,JYP Ent.,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515002272
sm_entertainment,00260930,041510,20260515002991,K,에스엠,에스엠,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515002991
