company_id,corp_code,stock_code,rcept_no,corp_cls,corp_name,flr_nm,rcept_dt,report_nm,rm,viewer_url
ncsoft,00261443,036570,20260102000260,Y,NC,국민연금공단,20260102,주식등의대량보유상황보고서(약식),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260102000260
kakao_games,01137383,293490,20260102000321,K,카카오게임즈,카카오게임즈,20260102,특수관계인에대한자금대여,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260102000321
com2us,00476498,078340,20260102000404,K,컴투스,컴투스홀딩스,20260102,주식등의대량보유상황보고서(일반),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260102000404
ncsoft,00261443,036570,20260105000146,Y,NC,PublicInvestmentFund,20260105,주식등의대량보유상황보고서(약식),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105000146
ncsoft,00261443,036570,20260105000148,Y,NC,SaudiElectronicGamingHoldingCompany,20260105,주식등의대량보유상황보고서(약식),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105000148
krafton,00760971,259960,20260105800383,Y,크래프톤,크래프톤,20260105,최대주주등소유주식변동신고서              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800383
com2us,00476498,078340,20260105900619,K,컴투스,컴투스,20260105,주식소각결정              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105900619
krafton,00760971,259960,20260106000477,Y,크래프톤,크래프톤,20260106,독립이사의선임ㆍ해임또는중도퇴임에관한신고,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260106000477
pearl_abyss,01152470,263750,20260109900388,K,펄어비스,펄어비스,20260109,결산실적공시예고              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260109900388
pearl_abyss,01152470,263750,20260109900391,K,펄어비스,펄어비스,20260109,기업설명회(IR)개최              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260109900391
wemade,00444329,112040,20260112900527,K,위메이드,위메이드,20260112,결산실적공시예고              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260112900527
wemade,00444329,112040,20260112900531,K,위메이드,위메이드,20260112,기업설명회(IR)개최              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260112900531
com2us,00476498,078340,20260114000148,K,컴투스,남재관,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000148
com2us,00476498,078340,20260114000153,K,컴투스,권봉수,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000153
com2us,00476498,078340,20260114000166,K,컴투스,김동희,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000166
com2us,00476498,078340,20260114000168,K,컴투스,박병건,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000168
com2us,00476498,078340,20260114000176,K,컴투스,신주원,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000176
com2us,00476498,078340,20260114000182,K,컴투스,유영진,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000182
com2us,00476498,078340,20260114000183,K,컴투스,이동원,20260114,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114000183
krafton,00760971,259960,20260115000196,Y,크래프톤,장병규,20260115,주식등의대량보유상황보고서(일반),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260115000196
krafton,00760971,259960,20260115800316,Y,크래프톤,크래프톤,20260115,최대주주등소유주식변동신고서              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260115800316
ncsoft,00261443,036570,20260116800146,Y,NC,NC,20260116,결산실적공시예고(안내공시)              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260116800146
ncsoft,00261443,036570,20260116800150,Y,NC,NC,20260116,기업설명회(IR)개최(안내공시)              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260116800150
wemade,00444329,112040,20260119000201,K,위메이드,박관호,20260119,주식등의대량보유상황보고서(일반),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260119000201
krafton,00760971,259960,20260119800653,Y,크래프톤,크래프톤,20260119,결산실적공시예고(안내공시)              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260119800653
krafton,00760971,259960,20260119800657,Y,크래프톤,크래프톤,20260119,기업설명회(IR)개최(안내공시)              ,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260119800657
pearl_abyss,01152470,263750,20260120000003,K,펄어비스,서용수,20260120,주식등의대량보유상황보고서(약식),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260120000003
com2us,00476498,078340,20260121000200,K,컴투스,홍지웅,20260121,임원ㆍ주요주주특정증권등소유상황보고서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260121000200
com2us,00476498,078340,20260122900206,K,컴투스,컴투스,20260122,결산실적공시예고              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260122900206
com2us,00476498,078340,20260122900207,K,컴투스,컴투스,20260122,기업설명회(IR)개최              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260122900207
com2us,00476498,078340,20260122900211,K,컴투스,컴투스,20260122,기업설명회(IR)개최              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260122900211
kakao_games,01137383,293490,20260122900621,K,카카오게임즈,카카오게임즈,20260122,결산실적공시예고              ,코,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260122900621
